wave,m1,m2,m3,m4,m5,m6,s1,s2,s3,s4,s5,s6,t1,t2,t3,t4,t5,t6,date
1350,11.1066666666667,10.6366666666667,11.8133333333333,13.7033333333333,9.48666666666667,13.1466666666667,8.10666666666667,10.3066666666667,8.12333333333333,9.15666666666667,6.56666666666667,8,22.14,18.5,16.68,7.22666666666667,15.6166666666667,10.7633333333333,2016-05-03
1360,10.62,9.88,11.425,13.22,8.98,12.715,7.65,9.66,7.69,8.875,6.315,7.4,21.12,17.775,15.985,6.59,14.98,10.23,2016-05-03
1370,10.57,9.66333333333333,11.1466666666667,13.1266666666667,8.79666666666667,12.6,7.73,9.39333333333333,7.69,8.65333333333333,6.28666666666667,7.39,20.9666666666667,17.5066666666667,15.8133333333333,6.59666666666667,14.88,10.1066666666667,2016-05-03
1380,10.1166666666667,9.51666666666667,11.0166666666667,13.06,8.73333333333333,12.32,7.45,9.35333333333333,7.60666666666667,8.40666666666667,6.06666666666667,7.13666666666667,20.5933333333333,17.1266666666667,15.5766666666667,6.47333333333333,14.76,9.79666666666667,2016-05-03
1390,10.485,9.48,10.695,12.585,8.39,12.075,7.44,9.05,7.19,8.8,5.95,7.19,20.545,16.955,15.375,6.465,14.365,9.985,2016-05-03
1400,9.90666666666667,9.17666666666667,10.2533333333333,12.63,8.19333333333333,12.29,7.11666666666667,8.83,6.99666666666667,7.96,5.53666666666667,6.92333333333333,19.9233333333333,16.28,14.9566666666667,6.54,14.6766666666667,9.44333333333333,2016-05-03
1410,8.56666666666667,7.69333333333333,8.53333333333333,10.9033333333333,6.61333333333333,10.42,6.35,7.38333333333333,5.75,6.82,4.76333333333333,5.61333333333333,16.9433333333333,13.6,13.2733333333333,5.83333333333333,13.15,8.16333333333333,2016-05-03
1420,6.84666666666667,6.09333333333333,6.35333333333333,9.02,4.98333333333333,8.78,5.26666666666667,5.91,4.65666666666667,5.30333333333333,3.76666666666667,4.64,13.33,10.18,10.9933333333333,5.09,11.7866666666667,6.38333333333333,2016-05-03
1430,6.575,5.655,5.935,8.64,4.495,8.36,5.09,5.605,4.265,5.03,3.47,4.415,12.53,9.29,10.3,4.93,11.17,6.1,2016-05-03
1440,5.99333333333333,5.16666666666667,5.24666666666667,8.1,3.97,7.97,4.74333333333333,5.07666666666667,3.88666666666667,4.67333333333333,3.22666666666667,3.92666666666667,11.2066666666667,8.24,9.58666666666667,4.69333333333333,10.79,5.44,2016-05-03
1450,5.34333333333333,4.68333333333333,4.60666666666667,7.54666666666667,3.46,7.32333333333333,4.52,4.76,3.55333333333333,4.27666666666667,3,3.65333333333333,10.16,7.19333333333333,8.79666666666667,4.46333333333333,10.1333333333333,4.84666666666667,2016-05-03
1460,5.38,4.77,4.69,7.53,3.56,7.285,4.585,4.87,3.67,4.35,3.05,3.785,10.24,7.27,8.805,4.48,9.94,4.91,2016-05-03
1470,5.57,4.93666666666667,4.89333333333333,7.82666666666667,3.74333333333333,7.69,4.65333333333333,4.99,3.69666666666667,4.48333333333333,3.11666666666667,3.85,10.5233333333333,7.5,9.05666666666667,4.61666666666667,10.3166666666667,5.06,2016-05-03
1480,5.67666666666667,5.02666666666667,4.97666666666667,8.07666666666667,3.77666666666667,7.81,4.71333333333333,5.03,3.75,4.55,3.15333333333333,3.82333333333333,10.7733333333333,7.62333333333333,9.21666666666667,4.65666666666667,10.6666666666667,5.10333333333333,2016-05-03
1490,5.77666666666667,5.15333333333333,5.13333333333333,8.23,3.88666666666667,7.90666666666667,4.84333333333333,5.17666666666667,3.82666666666667,4.65333333333333,3.21,3.9,11.0833333333333,7.74666666666667,9.28333333333333,4.74333333333333,10.7733333333333,5.22333333333333,2016-05-03
1500,5.975,5.37,5.365,8.475,4.105,8.15,5,5.375,3.975,4.84,3.32,4.06,11.515,8.07,9.555,4.85,10.99,5.42,2016-05-03
